_P_ Pl Ade	P det pl ad	l+iga|kõik|kumbki		
_P_ Sg Abl	P det sg abl	l+iga|kõik|kumbki		
_P_ Pl Abl	P det pl abl	l+iga|kõik|kumbki		
_P_ Sg Tra	P det sg tr	l+iga|kõik|kumbki		
_P_ Pl Tra	P det pl tr	l+iga|kõik|kumbki		
_P_ Sg Trm	P det sg term	l+iga|kõik|kumbki		
_P_ Pl Trm	P det pl term	l+iga|kõik|kumbki		
_P_ Sg Ess	P det sg es	l+iga|kõik|kumbki		
_P_ Pl Ess	P det pl es	l+iga|kõik|kumbki		
_P_ Sg Abe	P det sg abes	l+iga|kõik|kumbki		
_P_ Pl Abe	P det pl abes	l+iga|kõik|kumbki		
_P_ Sg Com	P det sg kom	l+iga|kõik|kumbki		
_P_ Pl Com	P det pl kom	l+iga|kõik|kumbki		

_P_ Sg Nom	P rec pl nom	l+üksteise|teineteise	
_P_ Pl Nom	P rec pl nom	l+üksteise|teineteise		
_P_ Sg Gen	P rec sg gen	l+üksteise|teineteise		
_P_ Pl Gen	P rec pl gen	l+üksteise|teineteise		
_P_ Sg Par	P rec sg part	l+üksteise|teineteise		
_P_ Pl Par	P rec pl part	l+üksteise|teineteise		
_P_ Sg Ill	P rec sg ill	l+üksteise|teineteise		
_P_ Pl Ill	P rec pl ill	l+üksteise|teineteise		
_P_ Sg Ine	P rec sg in	l+üksteise|teineteise		
_P_ Pl Ine	P rec pl in	l+üksteise|teineteise		
_P_ Sg Ela	P rec sg el	l+üksteise|teineteise		
_P_ Pl Ela	P rec pl el	l+üksteise|teineteise		
_P_ Sg All	P rec sg all	l+üksteise|teineteise		
_P_ Pl All	P rec pl all	l+üksteise|teineteise		
_P_ Sg Ade	P rec sg ad	l+üksteise|teineteise		
_P_ Pl Ade	P rec pl ad	l+üksteise|teineteise		
_P_ Sg Abl	P rec sg abl	l+üksteise|teineteise		
_P_ Pl Abl	P rec pl abl	l+üksteise|teineteise		
_P_ Sg Tra	P rec sg tr	l+üksteise|teineteise		
_P_ Pl Tra	P rec pl tr	l+üksteise|teineteise		
_P_ Sg Trm	P rec sg term	l+üksteise|teineteise		
_P_ Pl Trm	P rec pl term	l+üksteise|teineteise		
_P_ Sg Ess	P rec sg es	l+üksteise|teineteise		
_P_ Pl Ess	P rec pl es	l+üksteise|teineteise		
_P_ Sg Abe	P rec sg abes	l+üksteise|teineteise		
_P_ Pl Abe	P rec pl abes	l+üksteise|teineteise		
_P_ Sg Com	P rec sg kom	l+üksteise|teineteise		
_P_ Pl Com	P rec pl kom	l+üksteise|teineteise		

_P_ Sg Nom	P indef pl nom	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju	
_P_ Pl Nom	P indef pl nom	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Sg Gen	P indef sg gen	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Pl Gen	P indef pl gen	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Sg Par	P indef sg part	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Pl Par	P indef pl part	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Sg Ill	P indef sg ill	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Pl Ill	P indef pl ill	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Sg Ine	P indef sg in	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Pl Ine	P indef pl in	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Sg Ela	P indef sg el	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Pl Ela	P indef pl el	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Sg All	P indef sg all	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Pl All	P indef pl all	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Sg Ade	P indef sg ad	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Pl Ade	P indef pl ad	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Sg Abl	P indef sg abl	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Pl Abl	P indef pl abl	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Sg Tra	P indef sg tr	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Pl Tra	P indef pl tr	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Sg Trm	P indef sg term	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
